param_value,value,value_std,time,time_std
10,78345.936,10519.287152528157,0.005352163314819336,3.704463150296692e-05
20,80940.824,4887.566094773962,0.010304880142211915,0.0002961375048933821
30,90577.21599999999,6748.615981270829,0.015236425399780273,0.00010875446172067178
50,87676.38999999998,6845.044146665528,0.025348949432373046,0.00012205330536504967
70,82831.58600000001,7975.494997758069,0.0355872631072998,0.0003255739710384693
100,91222.01000000001,7582.912998132049,0.0508267879486084,0.000189421843094234
