param_value,value,value_std,time,time_std
20,74961.648,14416.101825469184,0.008718919754028321,0.0015997226277918504
30,70877.80399999999,7877.24490468742,0.00933842658996582,0.0002569355690819061
50,86256.996,14783.733324118914,0.015051603317260742,0.00010785841497003237
70,87591.812,6606.758911543242,0.0209958553314209,0.0001237435147203962
100,83028.688,4647.4406568579225,0.029987812042236328,0.00021391889615414417
150,91498.90199999999,2683.0728416306583,0.04523138999938965,0.0001435633390866347
