algorithm,value_mean,value_std,value_best,time_mean,better_algorithm,improvement_pct
GBFS,75304.5,0.0,75304.5,0.01778106689453125,BPSO,12.048092743461556
BPSO,84377.25600000001,9236.614470266913,102536.58000000002,0.017128992080688476,BPSO,12.048092743461556
