max_states,value,value_std,value_best,value_worst,time,time_std,efficiency
1000,62421.420000000006,0.0,62421.420000000006,62421.420000000006,0.0017863750457763673,8.918838484334313e-05,34943065.37005579
2000,66024.7,0.0,66024.7,66024.7,0.0035939693450927736,0.0002159570905242694,18370969.159809474
3000,71784.12999999999,0.0,71784.12999999999,71784.12999999999,0.005925178527832031,0.0001926868217107908,12115099.935438596
5000,80072.89,0.0,80072.89,80072.89,0.01533207893371582,0.00969327068351559,5222572.251693584
7000,82655.27,0.0,82655.27,82655.27,0.015331554412841796,0.00031964594577352614,5391186.553841369
10000,82655.27,0.0,82655.27,82655.27,0.027070140838623045,0.008765104194164767,3053374.2137783556
