characteristic,test_case,gbfs_value,gbfs_time,bpso_value,bpso_time,better_algorithm,improvement_pct
low_correlation,Data Low Correlation Medium,91610.19,0.008477290471394857,95774.14666666667,0.017601728439331055,BPSO,4.545298581595197
high_correlation,Data High Correlation Medium,72704.31999999999,0.009101629257202148,62928.54,0.01763319969177246,GBFS,15.534731935620929
high_value,Data High Value Medium,95516.71,0.01043558120727539,130991.85333333333,0.017665545145670574,BPSO,37.14024837469101
region_1,Region 1Regions Medium,81091.69,0.008958021799723307,82851.96333333333,0.017672618230183918,BPSO,2.170719753569485
region_3,Region 3Regions Medium,89533.63999999997,0.020242849985758465,85593.50333333334,0.017417510350545246,GBFS,4.603312767000847
